"Country","Year","Value","Destination"
"PNG",1982,3110000,"pop 17"
"PRY",1982,3303000,"pop 17"
"PER",1982,18197000,"pop 17"
"BRA",1981,123684000,"pop 17"
"BRN",1981,NA,"pop 17"
"BGR",1981,8891000,"pop 17"
"BFA",1981,7769000,"pop 17"
"BDI",1981,4210000,"pop 17"
"KHM",1981,NA,"pop 17"
"CMR",1981,9079000,"pop 17"
"CAN",1981,24785000,"pop 17"
"CPV",1981,269000,"pop 17"
"CAF",1981,2380000,"pop 17"
"TCD",1981,4522000,"pop 17"
"CHL",1981,11360000,"pop 17"
"CHN",1981,1000720000,"pop 17"
"COM",1981,354000,"pop 17"
"COD",1981,30804000,"pop 17"
"COG",1981,1647000,"pop 17"
"CRI",1981,NA,"pop 17"
"CIV",1981,8520000,"pop 17"
"HRV",1981,4601469,"pop 17"
"CYP",1981,520000,"pop 17"
"CZE",1981,10301000,"pop 17"
"DNK",1981,5124000,"pop 17"
"DJI",1981,NA,"pop 17"
"DMA",1981,NA,"pop 17"
"DOM",1981,5563000,"pop 17"
"ECU",1981,8419000,"pop 17"
"EGY",1981,41706000,"pop 17"
"SLV",1981,5042000,"pop 17"
"GNQ",1981,NA,"pop 17"
"ERI",1981,NA,"pop 17"
"EST",1981,1488000,"pop 17"
"ETH",1981,36298000,"pop 17"
"FJI",1981,649000,"pop 17"
"GIN",1981,NA,"pop 17"
"FIN",1981,4812000,"pop 17"
"FRA",1981,54029000,"pop 17"
"GAB",1981,765000,"pop 17"
"GMB",1981,624000,"pop 17"
"GEO",1981,NA,"pop 17"
"DEU",1981,76998000,"pop 17"
"GHA",1981,10542000,"pop 17"
"GRC",1981,9728000,"pop 17"
"GRD",1981,91000,"pop 17"
"GTM",1981,6558000,"pop 17"
"GNB",1981,773000,"pop 17"
"GUY",1981,741000,"pop 17"
"HTI",1981,6033000,"pop 17"
"HND",1981,3791000,"pop 17"
"HKG",1981,5180000,"pop 17"
"HUN",1981,10706000,"pop 17"
"ISL",1981,232000,"pop 17"
"IND",1981,696000000,"pop 17"
"IDN",1981,150406000,"pop 17"
"IRN",1981,40850000,"pop 17"
"IRQ",1981,NA,"pop 17"
"IRL",1981,3443000,"pop 17"
"ISR",1981,3816000,"pop 17"
"ITA",1981,56479000,"pop 17"
"JAM",1981,2149000,"pop 17"
"JPN",1981,117586000,"pop 17"
"JOR",1981,2319000,"pop 17"
"KAZ",1981,NA,"pop 17"
"KEN",1981,17686000,"pop 17"
"KIR",1981,60000,"pop 17"
"KOR",1981,38723000,"pop 17"
"UVK",1981,NA,"pop 17"
"KWT",1981,1432000,"pop 17"
"KGZ",1981,NA,"pop 17"
