"UNU_Key","Year","Country","POM_kg","POM_pieces"
"0002","2000","DEU",580226193,34130952.5294118
"0002","2000","DNK",22614122,1330242.47058824
"0002","2000","ESP",185544509,10914382.8823529
"0002","2000","EST",33700,1982.35294117647
"0002","2000","FIN",16300,958.823529411765
"0002","2000","FRA",99011522.9596266,5824207.23291921
"0002","2000","GBR",183773300.110688,10810194.1241581
"0002","2000","GRC",55200,3247.05882352941
"0002","2000","IRL",43000,2529.41176470588
"0002","2000","ITA",1373912,80818.3529411765
"0002","2000","LTU",200,11.7647058823529
"0002","2000","LUX",1300,76.4705882352941
"0002","2000","LVA",400,23.5294117647059
"0002","2000","NLD",196689972.456817,11569998.3798128
"0002","2000","PRT",24900,1464.70588235294
"0002","2000","ROU",7100,417.647058823529
"0002","2000","SVN",20200,1188.23529411765
"0002","2000","SWE",113003,6647.23529411765
"0002","2001","AUT",199000,11705.8823529412
"0002","2001","BEL",102448585.503585,6026387.38256383
"0002","2001","BGR",11200,658.823529411765
"0002","2001","CZE",1351515.08460654,79500.8873297963
"0002","2001","DEU",584869477,34404086.8823529
"0002","2001","DNK",9685764,569750.823529412
"0002","2001","ESP",245005901,14412111.8235294
"0002","2001","EST",200,11.7647058823529
"0002","2001","FIN",34115,2006.76470588235
"0002","2001","FRA",126128934.071941,7419349.06305536
"0002","2001","GBR",230710785,13571222.6470588
"0002","2001","GRC",53800,3164.70588235294
"0002","2001","HUN",112349048.246622,6608767.54391896
"0002","2001","ITA",749770,44104.1176470588
"0002","2001","LTU",400,23.5294117647059
"0002","2001","LUX",2100,123.529411764706
"0002","2001","LVA",900,52.9411764705882
"0002","2001","NLD",164270251.704671,9662955.98262772
"0002","2001","PRT",88300,5194.11764705882
"0002","2001","ROU",8700,511.764705882353
"0002","2001","SVN",14800,870.588235294118
"0002","2002","AUT",293300,17252.9411764706
"0002","2002","BEL",83966065.3984291,4939180.31755465
"0002","2002","BGR",5000,294.117647058824
"0002","2002","CZE",375191.671061071,22070.0982977101
"0002","2002","DEU",832941663,48996568.4117647
"0002","2002","DNK",9640147,567067.470588235
"0002","2002","ESP",409181865,24069521.4705882
"0002","2002","FIN",95200,5600
"0002","2002","FRA",126845054.343833,7461473.78493136
"0002","2002","GBR",165308852.691844,9724050.15834375
"0002","2002","HRV",399141.453595261,23478.9090350153
"0002","2002","HUN",115600,6800
"0002","2002","ITA",1046495,61558.5294117647
"0002","2002","LTU",9424255.12744687,554367.948673345
"0002","2002","LUX",9800,576.470588235294
"0002","2002","LVA",400,23.5294117647059
"0002","2002","NLD",129435908.955337,7613876.99737278
"0002","2002","POL",34000,2000
"0002","2002","PRT",144500,8500
"0002","2002","ROU",5500,323.529411764706
"0002","2002","SVN",20600,1211.76470588235
"0002","2002","SWE",284891,16758.2941176471
"0002","2003","AUT",349800,20576.4705882353
"0002","2003","BEL",11442982196,673116599.764706
"0002","2003","BGR",6800,400
"0002","2003","CZE",9058279,532839.941176471
"0002","2003","DEU",1322121327,77771842.7647059
"0002","2003","DNK",11304158,664950.470588235
"0002","2003","ESP",419431249,24672426.4117647
"0002","2003","FIN",40200,2364.70588235294
"0002","2003","FRA",10053180734,591363572.588235
"0002","2003","GBR",13589832792,799401928.941176
"0002","2003","GRC",82900,4876.47058823529
"0002","2003","HRV",674200,39658.8235294118
"0002","2003","HUN",8339479963,490557644.882353
"0002","2003","IRL",3100,182.352941176471
"0002","2003","ITA",2812498,165441.058823529
"0002","2003","LTU",2921092321,171828960.058824
"0002","2003","LUX",81000,4764.70588235294
"0002","2003","LVA",600,35.2941176470588
"0002","2003","NLD",13087560033,769856472.529412
"0002","2003","POL",68000,4000
"0002","2003","PRT",51600,3035.29411764706
"0002","2003","ROU",5045420,296789.411764706
"0002","2003","SVN",27800,1635.29411764706
"0002","2003","SWE",7242530,426031.176470588
"0002","2004","AUT",3992727763,234866339
"0002","2004","BEL",9711910948,571288879.294118
"0002","2004","BGR",11960562,703562.470588235
"0002","2004","CZE",13201354,776550.235294118
"0002","2004","DEU",2281255756,134191515.058824
"0002","2004","DNK",10570476,621792.705882353
"0002","2004","ESP",666611289,39212428.7647059
"0002","2004","FRA",13134629644,772625273.176471
"0002","2004","GBR",12488595598,734623270.470588
"0002","2004","GRC",15200,894.117647058823
"0002","2004","HRV",797200,46894.1176470588
"0002","2004","HUN",10609382679,624081334.058823
"0002","2004","ITA",5075008,298529.882352941
"0002","2004","LTU",87490650,5146508.82352941
"0002","2004","LUX",276600,16270.5882352941
"0002","2004","LVA",400,23.5294117647059
"0002","2004","MLT",3000,176.470588235294
"0002","2004","NLD",14863138558,874302268.117647
"0002","2004","POL",386600,22741.1764705882
"0002","2004","PRT",36500,2147.05882352941
"0002","2004","ROU",147940553,8702385.47058824
"0002","2004","SVK",463400,27258.8235294118
"0002","2004","SVN",14200,835.294117647059
"0002","2004","SWE",14425362,848550.705882353
"0002","2005","AUT",1151712951,67747820.6470588
"0002","2005","BEL",1425493829,83852578.1764706
"0002","2005","BGR",71447936,4202819.76470588
"0002","2005","CZE",21094525,1240854.41176471
"0002","2005","DEU",2872823193,168989599.588235
"0002","2005","DNK",22876878,1345698.70588235
"0002","2005","ESP",125359098,7374064.58823529
"0002","2005","EST",10900,641.176470588235
"0002","2005","FRA",1449629726,85272336.8235294
"0002","2005","GBR",2538529263,149325250.764706
"0002","2005","GRC",4192922,246642.470588235
"0002","2005","HRV",921200,54188.2352941176
"0002","2005","HUN",3069093478,180534910.470588
"0002","2005","ITA",6274523,369089.588235294
"0002","2005","LTU",16762380,986022.352941177
"0002","2005","LUX",214500,12617.6470588235
"0002","2005","LVA",300,17.6470588235294
"0002","2005","MLT",13100,770.588235294118
"0002","2005","NLD",2833391275,166670075
"0002","2005","POL",230400,13552.9411764706
"0002","2005","ROU",190275016,11192648
"0002","2005","SVK",237300,13958.8235294118
"0002","2005","SVN",20300,1194.11764705882
"0002","2006","AUT",2107836453,123990379.588235
"0002","2006","BEL",3604151692,212008923.058824
"0002","2006","BGR",142867387,8403963.94117647
"0002","2006","CZE",6010217,353542.176470588
"0002","2006","DEU",3678366505,216374500.294118
"0002","2006","DNK",31488671,1852274.76470588
"0002","2006","ESP",128220518,7542383.41176471
"0002","2006","EST",3900,229.411764705882
"0002","2006","FRA",1863997879,109646934.058824
"0002","2006","GBR",4508644791,265214399.470588
"0002","2006","GRC",23551019,1385354.05882353
"0002","2006","HRV",1897700,111629.411764706
"0002","2006","HUN",1235933300,72701958.8235294
"0002","2006","IRL",37298291,2194017.11764706
"0002","2006","ITA",6158914,362289.058823529
"0002","2006","LTU",14764315,868489.117647059
"0002","2006","LUX",131200,7717.64705882353
"0002","2006","LVA",2300,135.294117647059
"0002","2006","MLT",15400,905.882352941176
"0002","2006","NLD",2283028894,134295817.294118
"0002","2006","POL",143900,8464.70588235294
"0002","2006","ROU",49000,2882.35294117647
"0002","2006","SVK",97500,5735.29411764706
"0002","2006","SVN",6065475,356792.647058824
"0002","2006","SWE",260985,15352.0588235294
"0002","2007","AUT",2141145404,125949729.647059
"0002","2007","BEL",2812379323,165434077.823529
"0002","2007","BGR",78079132,4592890.11764706
"0002","2007","CZE",8421207,495365.117647059
"0002","2007","DEU",3829465817,225262695.117647
"0002","2007","DNK",8350778,491222.235294118
"0002","2007","ESP",218710432,12865319.5294118
"0002","2007","EST",5800,341.176470588235
"0002","2007","FRA",1485722477,87395439.8235294
"0002","2007","GBR",4981315836,293018578.588235
"0002","2007","GRC",1173912,69053.6470588235
"0002","2007","HRV",956600,56270.5882352941
"0002","2007","HUN",1318863300,77580194.1176471
"0002","2007","IRL",33499936,1970584.47058824
"0002","2007","ITA",15529116,913477.411764706
"0002","2007","LTU",11804775,694398.529411765
"0002","2007","LUX",102800,6047.05882352941
"0002","2007","LVA",1900,111.764705882353
"0002","2007","MLT",12600,741.176470588235
