"UNU_Key","Year","Country","POM_kg_new","POM_pieces_new","POM_kg_original","POM_Pieces_original","Reason"
"0111","2004","GRC",2866643,107331,4016908.5,150446.0112,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2005","GRC",3195003,119626,27411404.1,1026644.348,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2006","GRC",3944039,147671,26155886.8,979621.2285,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2007","GRC",4697000,175863,20586313.29,771022.9697,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2008","GRC",2549470,95456,15200057.4,569290.54,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2009","GRC",4518561,169182,14895077.29,557868.06,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2010","GRC",5785925,216634,14584069.5,546219.83,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2011","GRC",5176755,193825,5177156.57,194025.95,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2002","HRV",1814699,71633,53832.2,2016.19,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2003","HRV",1404620,55446,71307,2670.67,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2004","HRV",994317,39249,100525,3764.98,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2005","HRV",1214460,47939,94890.55,3553.95,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2006","HRV",1675750,66148,89148,3338.88,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2007","HRV",1308286,51643,108308,4056.48,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2008","HRV",942305,37196,100969,3781.61,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2009","HRV",855458,33768,45418,1701.05,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2010","HRV",712299,28117,36055,1350.37,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2011","HRV",1239049,48910,39449,1477.49,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2012","HRV",1191287,47024,39843.49,1609.5,"Outlier detection with Feng. Set 2001 at 0.25, rest with ratio BGR (which is mostly stratum based)"
"0111","2009","LVA",885314,33158,151600,5677.902622,"Low outlier. Corrected with ratio EST"
"0111","2010","LVA",837733,31376,259400,9715,"Low outlier. Corrected with ratio BGR"
"0111","2005","MLT",152476,5711,1246400,46681.64794,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2006","MLT",188770,7070,1228035.451,45993.83712,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2007","MLT",225967,8463,1212400,45408.2397,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2008","MLT",121297,4543,1033700,38715.35581,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2009","MLT",216422,8106,492000,18426.96629,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2010","MLT",276336,10350,383600,14367.0412,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2011","MLT",247728,9278,709733.7643,26581.78892,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2012","MLT",111977,4194,718554.2536,38820.22472,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2002","PRT",5688470,213051,7993800,299393.2584,"High outlier. Corrected with ratio ITA"
"0111","2003","PRT",3304059,123748,10202789.88,382126.9617,"High outlier. Corrected with ratio ITA"
"0111","2004","PRT",3450780,129243,11976805,448569.4757,"High outlier. Corrected with ratio ITA"
"0111","2005","PRT",3857500,144476,14670020.6,549438.9738,"High outlier. Corrected with ratio ITA"
"0112","2004","CYP",11048,233,486900,11676.25899,"Outlier detection with Feng. Corrected with ratio GRC"
"0112","2005","CYP",10584,224,502975.3379,12061.7587,"Outlier detection with Feng. Corrected with ratio GRC"
"0112","2006","CYP",8078,171,521373.4432,12502.96027,"Outlier detection with Feng. Corrected with ratio GRC"
"0112","2007","CYP",9978,211,542900,13019.18465,"Outlier detection with Feng. Corrected with ratio GRC"
"0112","2008","CYP",12013,254,354652.0457,8504.845221,"Outlier detection with Feng. Corrected with ratio GRC"
"0112","1995","DNK",1788316,42885,14817.14147,355.3271335,"Outlier detection with Feng. Corrected with ratio NOO"
"0112","1996","DNK",1836322,44036,600,14.38848921,"Outlier detection with Feng. Corrected with ratio NOO"
"0112","1997","DNK",1881610,45123,700,16.78657074,"Outlier detection with Feng. Corrected with ratio NOO"
"0112","1998","DNK",1926518,46199,982875.7436,23570.16172,"Outlier detection with Feng. Corrected with ratio NOO"
"0113","2006","CYP",1313770,17129,2425995.71,26399.02,"Corrected with ratio Malta"
"0113","2007","CYP",1213002,15815,2149690.08,22495.38,"Corrected with ratio Malta"
"0113","2008","CYP",1239140,12260,1864913.286,18451.00658,"Outlier detection with Feng. Corrected with ratio MLT"
"0113","2009","CYP",1266472,12530,1995802.617,19798.96844,"Outlier detection with Feng. Corrected with ratio MLT"
"0113","2010","CYP",1386177,13715,2128424.4,21166.78739,"Outlier detection with Feng. Corrected with ratio MLT"
"0113","2004","ESP",69221205,709892,335207734.9,3408509.01,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2005","ESP",76762822,787234,356616570.2,3534973.96,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2006","ESP",61879712,634602,412202329,3948921.53,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2007","ESP",69045736,708092,227125222.9,2081848.84,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2008","ESP",82413899,845188,211210000.7,1938430.11,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2009","ESP",93710684,961041,218591680,1994979.53,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2010","ESP",89477027,917623,370604699.3,3345240.61,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2011","ESP",84568325,867282,357848610.4,3229270.06,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2012","ESP",85593009,877791,278751290.6,2518178.38,"Corrected with 2003 value and ratio of stratum 3 countries"
"0113","2013","ESP",92077366,944291,46719781,393148,"Corrected with ratio BGR"
"0113","2014","ESP",97652488,1001466,45937783,392225,"Corrected with ratio BGR"
"0113","2015","ESP",84615007,867761,50164446,429015,"Corrected with ratio BGR"
"0113","2002","FIN",4724383,96386,5922905.958,120837.9259,"High outlier. Corrected with ratio DEU"
"0113","2003","FIN",4008077,72136,6705596.59,120684.7639,"High outlier. Corrected with ratio DEU"
"0113","1997","GRC",7270029,71928,18030491.5,97651.06787,"Outlier detection with Feng. Corrected with ratio ITA"
"0113","1998","GRC",7903368,78194,17556135.67,102199.5082,"Outlier detection with Feng. Corrected with ratio ITA"
"0113","1999","GRC",5663692,58600,5663691.577,58600.42869,"High outlier. Corrected with ratio PRT"
"0113","2000","GRC",6695102,44850,11802308.5,79062.78158,"High outlier. Corrected with ratio PRT"
"0113","2001","GRC",8004821,44365,17974121.11,99616.78766,"High outlier. Corrected with ratio PRT"
"0113","2002","GRC",7139366,43390,20914379.67,127108.2896,"High outlier. Corrected with ratio PRT"
"0113","2003","GRC",8468475,54898,23857512.67,154658.4703,"High outlier. Corrected with ratio PRT"
"0113","2004","GRC",8405921,60851,37611922.17,272272.962,"High outlier. Corrected with ratio PRT"
"0113","2005","GRC",8607636,60734,33079899.26,233406.3086,"High outlier. Corrected with ratio PRT"
"0113","2006","GRC",7707249,52512,28532128.58,194400.4646,"High outlier. Corrected with ratio PRT"
"0113","2007","GRC",9194228,59554,23969518.04,155258.7165,"High outlier. Corrected with ratio PRT"
"0113","2008","GRC",10153680,130827,16661146.94,214673.0564,"High outlier. Corrected with ratio PRT"
"0113","2009","GRC",10493471,130978,21077277.61,263083.5094,"High outlier. Corrected with ratio PRT"
"0113","2010","GRC",11727979,146305,18207371.4,227134.2515,"High outlier. Corrected with ratio PRT"
"0113","2011","GRC",8011782,62056,26017468,201521,"High outlier. Corrected with ratio PRT"
"0113","2012","GRC",13061831,101172,23897239,185099,"High outlier. Corrected with ratio PRT"
"0113","2001","IRL",1628188,117300,769175.1986,55413.82088,"High outlier. Corrected with ratio DEU"
"0113","2002","IRL",1518389,28227,5206652.742,96791.45388,"High outlier. Corrected with ratio DEU"
"0113","2003","IRL",1305381,20175,4015783.302,62065.53015,"High outlier. Corrected with ratio DEU"
"0113","2004","IRL",1340213,12606,2785939.301,26203.91457,"High outlier. Corrected with ratio DEU"
"0113","2005","IRL",1383511,13180,2615204.655,24912.86715,"High outlier. Corrected with ratio DEU"
"0113","2006","IRL",3966689,44155,3835590.424,42695.54258,"High outlier. Corrected with ratio DEU"
"0113","2007","IRL",4974264,58785,4950068.816,58498.62276,"High outlier. Corrected with ratio DEU"
"0113","2008","IRL",4550252,42042,12226687.14,112969.1266,"High outlier. Corrected with ratio DEU"
"0113","2009","IRL",4517680,38786,17963288.02,154222.3094,"High outlier. Corrected with ratio DEU"
"0113","2010","IRL",4344675,37558,13606568.52,117624.2506,"High outlier. Corrected with ratio DEU"
"0113","2011","IRL",5825024,50355,8746442.96,61585.44009,"High outlier. Corrected with ratio DEU"
"0113","2012","IRL",5698386,49261,8853216.477,85018.595,"High outlier. Corrected with ratio DEU"
"0113","2001","ITA",68353200,1006883,123495350.3,1516183.69,"Feng/Jaco, corrected by using kpi value little higher than 2000"
"0113","2002","ITA",74092200,1091421,140526608.2,1679794.11,"Feng/Jaco, corrected by using kpi value little higher than 2001"
"0113","2003","ITA",80249400,1182121,158389889.1,1853097.53,"Feng/Jaco, corrected by using kpi value little higher than 2002"
"0113","2004","ITA",85834605,1264394,225209260.6,2148092.87,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2005","ITA",94566235,1393016,228638070.9,2723169.18,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2006","ITA",75444714,1111345,174571697.8,2169279.51,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2007","ITA",83202910,1225628,180626736.5,2370550.85,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2008","ITA",98552624,1451738,152488560.3,1861395.05,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2009","ITA",112036667,1650366,123737574.8,1342197.88,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2010","ITA",107164655,1578598,121105952.4,1469925.67,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2011","ITA",101650959,1497378,118425073.6,1598600.59,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2012","ITA",103128581,1519144,123590184.4,1686421.8,"Feng/Jaco, corrected with 2003 value and ratio of stratum 3 countries"
"0113","2013","ITA",110941399,1634231,13590666,444343,"Corrected with ratio BGR"
"0113","2014","ITA",117658704,1733181,10955523,405223,"Corrected with ratio BGR"
"0113","2015","ITA",101950214,1501786,1222710,358622,"Corrected with ratio BGR"
"0113","2002","MLT",357888,3029,541591.9571,4584,"High outlier. Corrected with ratio PRT"
"0113","2003","MLT",425851,3637,810889.1783,6924.649154,"High outlier. Corrected with ratio PRT"
"0113","2004","MLT",425089,3646,1085586.057,9311.927639,"High outlier. Corrected with ratio PRT"
"0113","2005","MLT",437683,4369,946037.6086,9443.277706,"High outlier. Corrected with ratio PRT"
"0113","2006","MLT",393028,4679,802309.2857,9551.958482,"High outlier. Corrected with ratio PRT"
"0113","2002","SVK",2509351,41461,6710696.353,110876.8729,"High outlier. Corrected with ratio PRT"
"0113","2003","SVK",2973594,57950,10611030.69,206789.1898,"High outlier. Corrected with ratio PRT"
"0113","2004","SVK",2935629,60999,8313016.491,172734.3263,"High outlier. Corrected with ratio PRT"
"0113","2003","SVN",2089437,26178,2088488.232,26166.06972,"Strange time series. Corrected with ratio PRT"
"0113","2004","SVN",2071096,25988,2341516.707,29381.42193,"Strange time series. Corrected with ratio PRT"
"0113","2005","SVN",2118700,27605,2653061.479,34567.32783,"Strange time series. Corrected with ratio PRT"
"0113","2006","SVN",1897879,27757,2312465.071,33819.96647,"Strange time series. Corrected with ratio PRT"
"0113","2007","SVN",2266842,27845,2645744.632,32499.45695,"Strange time series. Corrected with ratio PRT"
"0113","2008","SVN",2463491,50763,3069616.341,63252.91517,"Strange time series. Corrected with ratio PRT"
"0113","2009","SVN",2565844,31857,3445709.171,42781.21953,"Strange time series. Corrected with ratio PRT"
"0113","2010","SVN",2880734,35913,3356747.496,41846.81609,"Strange time series. Corrected with ratio PRT"
